Sequence, HEVC_Bits, HEVC_Time, EI_Bits, EI_Time, Ratio_Bits, x_Time
PeopleOnStreet, 2563056,       28.828, 2409427,       25.625,-5.99397750185716,0.888892743166366,
Traffic, 2597348,       20.812, 2505313,       22.547,-3.54342198273008,1.08336536613492,
BasketballDrive, 1318758,       14.281, 1312325,       15.656,-0.487807467329108,1.09628177298509,
BQTerrace, 1457342,       14.516, 1443386,       15.422,-0.957633829259021,1.06241388812345,
Cactus, 1590537,       14.031, 1574838,       15.906,-0.987025136793423,1.13363267051529,
Kimono, 1268113,       14.656, 1234750,       16.047,-2.63091696087021,1.09490993449782,
ParkScene, 1496168,       13.125, 1462300,       13.188,-2.26364953668305,1.0048,
BasketballDrill, 273663,        2.750, 270532,        3.125,-1.14410789913141,1.13636363636364,
BQMall, 286637,        2.781, 284736,        3.047,-0.663208169217512,1.09564904710536,
PartyScene, 366281,        2.797, 364404,        3.078,-0.512448093130684,1.10046478369682,
RaceHorsesC, 288592,        2.750, 280979,        2.969,-2.63798026279315,1.07963636363636,
BasketballPass, 63272,        0.625, 62055,        0.703,-1.92344164875458,1.1248,
BlowingBubbles, 85573,        0.656, 83924,        0.688,-1.92700968763512,1.04878048780488,
BQSquare, 81845,        0.703, 81451,        0.688,-0.481397764066223,0.978662873399715,
RaceHorses, 77664,        0.672, 74921,        0.719,-3.53188092295014,1.06994047619048,
FourPeople, 495161,        6.266, 476181,        7.000,-3.83309670995898,1.1171401212895,
Johnny, 461384,        6.406, 449476,        6.906,-2.58093041804657,1.07805182641274,
KristenAndSara, 454403,        6.422, 442611,        6.922,-2.59505328970099,1.07785736530676,
Vidyo1, 446196,        6.438, 431473,        7.016,-3.29967099660239,1.08977943460702,
Vidyo3, 452689,        6.469, 436379,        6.875,-3.60291502554734,1.06276085948369,
Vidyo4, 418723,        6.344, 407629,        6.891,-2.64948426525412,1.08622320302648,
BasketballDrillText, 257389,        2.828, 254337,        3.109,-1.18575385894502,1.09936350777935,
ChinaSpeed, 324273,        5.109, 319908,        5.688,-1.34608801842892,1.11332941867293,
SlideEditing, 319967,        5.625, 318321,        6.031,-0.514428050392697,1.07217777777778,
SlideShow, 96011,        4.438, 91061,        4.531,-5.1556592473779,1.0209553853087,
25AVG,-,-,-,-,-2.25795946973823,1.0726493177314,