Sequence, src_filesize, src_Time, lip_filesize, lip_Time, Ratio_filesize, x_Time
Tango,8246960,     2284.016,8005718,     2603.969,-2.92522335503022,1.14008351955503,
Campfire,6044047,     1987.938,5989655,     2197.656,-0.89992682055583,1.10549524180332,
FoodMarket4,6116907,     2019.641,5747527,     2507.141,-6.03867281291018,1.24137953230302,
DaylightRoad2,8997162,     2353.672,8855978,     2555.047,-1.56920593404898,1.08555780074709,
ParkRunning3,9138629,     2084.312,8135563,     2486.359,-10.9761103115139,1.19289194707894,
CatRobot,8571919,     2349.406,8437469,     2562.984,-1.56849358935846,1.09090723357308,
PeopleOnStreet,2570934,      977.172,2316792,      985.141,-9.8852012537078,1.00815516613247,
Traffic,2652318,      897.984,2420220,     1062.750,-8.75076065539652,1.18348433825102,
BasketballDrive,1290529,      668.125,1272200,      631.359,-1.42027029226,0.944971375116932,
BQTerrace,1474512,      578.484,1410665,      653.156,-4.33004275312781,1.12908222180734,
Cactus,1555343,      595.016,1523268,      614.453,-2.06224607691037,1.03266634846794,
Kimono,1252568,      511.422,1179271,      622.844,-5.85173818906439,1.21786704521902,
ParkScene,1490486,      563.266,1418900,      655.797,-4.80286295879331,1.16427584835584,
BasketballDrill,263742,      107.047,258829,      128.078,-1.86280531731768,1.19646510411315,
BQMall,287008,      112.266,277692,      140.844,-3.24590255323893,1.25455614344503,
PartyScene,365613,      104.594,355089,      138.516,-2.87845344667722,1.3243207067327,
RaceHorsesC,292380,       98.766,274343,      135.016,-6.1690266092072,1.36702913958245,
BasketballPass,65493,       27.047,60472,       37.344,-7.66646817217107,1.38070765704145,
BlowingBubbles,83717,       26.719,80933,       33.016,-3.32548944658791,1.23567498783637,
BQSquare,80961,       27.609,78988,       30.938,-2.43697582786774,1.12057662356478,
RaceHorses,79350,       25.328,73668,       33.203,-7.16068052930057,1.31092072015161,
FourPeople,506425,      243.672,464488,      338.375,-8.28098928765365,1.38864949604386,
Johnny,465020,      262.688,435793,      334.609,-6.28510601694551,1.27378867706176,
KristenAndSara,462286,      253.344,431104,      325.094,-6.74517506478673,1.28321175950486,
Vidyo1,487498,      161.594,444418,      333.375,-8.8369593311152,2.06304070695694,
Vidyo3,508307,      171.609,462147,      341.750,-9.0811261698147,1.99144567009889,
Vidyo4,450146,      154.672,410384,      322.422,-8.83313413870167,2.08455311885797,
BasketballDrillText,249074,      101.031,243704,      119.969,-2.15598577129688,1.1874474171294,
ChinaSpeed,337482,      173.109,304210,      243.078,-9.85889617816654,1.40419042337487,
SlideEditing,319176,      201.078,283134,      238.609,-11.2922024212347,1.18664896209431,
SlideShow,210708,      146.234,183360,      185.078,-12.9790990375306,1.26562906027326,
AVG,-,-,-,-,-5.81210420394491,1.2856669029766,